"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"24261030 Statsgaranterede lån yngre fiskere "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"242630 Tilskud EU-medfinansiering til fiskerisektor "; 30,9; 66,8; 57,8; 57,8; 57,8; 57,8
"24263011 Fiskeri og akvakultur "; 30,9; 66,8; 56,3; 56,3; 56,3; 56,3
"24263012 Tilskud vedrørende dataindsamling "; 0,0; 0,0; 1,5; 1,5; 1,5; 1,5
"24263020 Vandløbsrestaurering mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24263040 Støtte til kontrolforanstaltninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"243 Fødevarer, husdyrforhold og forskning "; 1440,6; 1415,7; 1414,7; 1385,9; 1333,3; 1287,9
"2432 Fødevarer og husdyrforhold "; 523,6; 512,6; 525,0; 511,0; 468,8; 436,5
"243201 Fødevarestyrelsen "; 497,3; 489,9; 496,6; 483,6; 442,4; 416,1
"24320110 Almindelig virksomhed "; 486,3; 478,9; 483,6; 470,6; 429,4; 405,1
"24320114 Gebyrfinansieret kontrolvirksomhed "; 11,0; 11,0; 11,0; 11,0; 11,0; 11,0
"24320115 Kødkontrollen "; 0,0; 0,0; 2,0; 2,0; 2,0; 0,0
"243209 Forskellige tilskud "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24320970 Tilskud til Veterinærfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"243214 Erstatninger ved nedslagning af dyr "; 4,4; 3,4; 3,4; 3,4; 3,4; 3,4
"24321410 Erstatning ved nedslagning "; 4,4; 3,4; 3,4; 3,4; 3,4; 3,4
"243220 Markedsføring af fødevareklyngen "; 0,0; 0,0; 5,0; 5,0; 5,0; 0,0
"24322010 Tilskud til markedsføringskonsortier "; 0,0; 0,0; 5,0; 5,0; 5,0; 0,0
"243230 Madkulturen "; 21,9; 19,3; 15,0; 14,0; 13,0; 12,0
"24323030 Madkulturen "; 21,9; 19,3; 15,0; 14,0; 13,0; 12,0
"243279 Reserver og budgetregulering "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"24327920 Pulje til bedre dyrevelfærd "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"2433 Forskning og udvikling "; 216,9; 215,9; 198,8; 197,5; 200,5; 200,2
"243302 Tilskud til udvikling og demonstration "; 216,9; 215,9; 198,8; 197,5; 200,5; 200,2
"24330210 Forsk.akt. inden f. fødev.-og jordbrugsektor."; 203,9; 199,0; 181,1; 182,1; 183,1; 183,1
"24330220 Forsk. nat. og int.nat. forsk.aktiviteter mv "; 13,1; 16,9; 17,7; 15,4; 17,4; 17,1
"24330230 FØJO III "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2434 Forskningsbaseret myndighedsbetjening "; 703,2; 690,3; 694,0; 680,5; 667,1; 654,3
"243410 Danmarks Tekniske Universitet "; 303,0; 297,7; 305,1; 299,5; 293,8; 288,3
"24341010 fiskeriforhold og akvakultur "; 61,1; 59,6; 69,7; 68,3; 66,9; 65,5
"24341020 Opgaver vedrørende fødevarer og kemi "; 146,9; 144,4; 142,8; 140,3; 137,8; 135,5
"24341030 Opgaver vedrørende veterinærforhold "; 95,0; 93,7; 91,1; 89,4; 87,6; 85,8
"24341040 Miljø og affald "; 0,0; 0,0; 1,5; 1,5; 1,5; 1,5
"243420 Aarhus Universitet "; 400,2; 392,6; 383,6; 375,9; 368,2; 360,9
"24342010 Jordbrugsforhold og miljøundersøgelser mv. "; 400,2; 392,6; 383,6; 375,9; 368,2; 360,9
"243430 Københavns Universitet "; 0,0; 0,0; 5,3; 5,1; 5,1; 5,1
"24343010 Ressource- og samfundsøkonomi "; 0,0; 0,0; 5,3; 5,1; 5,1; 5,1
"2437 Fiskeriforhold "; -3,1; -3,1; -3,1; -3,1; -3,1; -3,1
"243740 Fiskepleje, herunder udsætninger "; 30,2; 31,0; 31,0; 31,0; 31,0; 31,0
"24374010 Fiskepleje, herunder udsætninger "; 30,2; 31,0; 31,0; 31,0; 31,0; 31,0
"243745 Fritidsfiskertegn og lystfiskertegn "; -40,2; -41,0; -41,0; -41,0; -41,0; -41,0
"24374520 Fritidsfiskertegn "; -9,4; -10,1; -10,1; -10,1; -10,1; -10,1
"24374530 Lystfiskertegn "; -30,8; -30,9; -30,9; -30,9; -30,9; -30,9
"243750 Øvrige tilskud vedrørende fiskerisektoren "; 6,9; 6,9; 6,9; 6,9; 6,9; 6,9
"24375010 Havundersøgelsesråd og EUROFISH "; 6,7; 6,7; 6,7; 6,7; 6,7; 6,7
"24375020 Det rådgivende Råd for Østersøen "; 0,2; 0,2; 0,2; 0,2; 0,2; 0,2
"244 EU's garantifond "; 3,9; 11,0; 4,0; 4,0; 4,0; 4,0
"2442 Garantifonden for landbruget "; 3,9; 11,0; 4,0; 4,0; 4,0; 4,0
"244211 Licenser og eksportstøtte "; -0,7; -1,0; -1,0; -1,0; -1,0; -1,0
"24421160 Inddraget sikkerhedsstillelse "; -0,7; -1,0; -1,0; -1,0; -1,0; -1,0
"244212 Direkte landbrugsstøtte "; 0,1; 12,0; 5,0; 5,0; 5,0; 5,0
"24421210 Grundbetaling "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421211 Grønne krav "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421212 Unge landbrugere "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421213 Ø-støtte "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421220 Tillægsstøtte "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421245 Kvægpræmie "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421265 Reguleringer, direkte landbrugsstøtte "; 0,1; 12,0; 5,0; 5,0; 5,0; 5,0
"244213 Forskellige støtteordninger "; 4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24421336 Produktionsstøtte, svinekød "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421348 Andre støtteordninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421354 Medansvarsafgift, mælk "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24421365 Reguleringer, produktionsstøtte "; 4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"245 Miljøbeskyttelse "; 554,8; 632,4; 538,6; 406,0; 349,2; 297,3
"2451 Fællesudgifter miljø "; 365,7; 297,5; 310,6; 275,6; 255,0; 235,3
"245101 Miljøstyrelsen "; 365,7; 297,5; 310,6; 275,6; 255,0; 235,3
"24510110 Driftsbudget "; 306,3; 258,5; 275,3; 261,6; 241,0; 221,3
"24510120 Grønne indkøb mv. "; 1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24510160 Kemikalier, sundhed og miljø "; 7,8; 7,8; 7,9; 14,0; 14,0; 14,0
"24510161 Kemikalier og nanomaterialer "; 18,2; 0,0; 0,0; 0,0; 0,0; 0,0
"24510165 Kemikalieindsats "; 29,6; 31,2; 27,4; 0,0; 0,0; 0,0
"24510180 Adm.omk vedr. miljøeffektiv teknologi "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24510181 Jobtræningsforløb (uden refusion) "; 2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"24510185 Mljøgodkendelser af husdyrbrug "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24510190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24510197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2452 Jordforurening "; 32,6; 28,7; 29,3; 29,3; 29,3; 29,3
"245206 Værditabsordning "; 24,9; 26,1; 26,3; 26,3; 26,3; 26,3
"24520610 Afhjælpende foranstaltninger, værditab "; 24,9; 26,1; 26,3; 26,3; 26,3; 26,3
"24520620 Låneordning, værditab "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"245207 Oprydning efter udslip fra villaolietanke "; 2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24520710 Oprydning efter udslip fra villaolietanke "; 2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"245208 Teknologipulje "; 5,2; 2,6; 3,0; 3,0; 3,0; 3,0
"24520810 Teknologipulje "; 5,2; 2,6; 3,0; 3,0; 3,0; 3,0
"2453 Indsamlingsordninger, miljømærkeordninger mv. "; -71,3; 33,8; 21,2; -26,4; -27,4; -59,6
"245304 Indsamlingsordning vedr. dæk og biler "; -116,8; 11,1; 9,9; 9,9; 9,9; 9,9
"24530410 Indsamlingsordning vedrørende dæk "; 0,4; 11,2; 11,0; 11,0; 11,0; 11,0
"24530440 Indsamlingsordning vedrørende biler "; -117,2; -0,1; -1,1; -1,1; -1,1; -1,1
"245306 Indsamlingsordning vedr. bærbare batterier "; -24,6; -14,6; -14,8; -14,8; -14,8; -14,8
"24530610 Indsamlingsordningen vedrørende bærbare batt "; -24,6; -14,6; -14,8; -14,8; -14,8; -14,8
"245308 Indtægtsført pant "; -13,3; -19,1; -28,7; -31,2; -32,2; -64,4
"24530810 Indtægtsført pant "; -13,3; -19,1; -28,7; -31,2; -32,2; -64,4
"245311 Mærkningsordning, formidling mv. "; 50,9; 11,7; 9,7; 9,7; 9,7; 9,7
"24531120 Miljømærkeordninger "; 13,5; 9,7; 9,7; 9,7; 9,7; 9,7
"24531130 Undersøgelser af affald og genanvendelse "; 15,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24531135 Grønne ildsjæle "; 9,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24531145 Kemi indsats vedrørende børn og unge "; 2,3; 2,0; 0,0; 0,0; 0,0; 0,0
"24531150 Pilotprojekter om grøn omstilling "; 10,6; 0,0; 0,0; 0,0; 0,0; 0,0
"245312 Ressourcestrategi "; 32,6; 44,7; 45,1; 0,0; 0,0; 0,0
"24531210 Ressourcestrategi "; 32,6; 44,7; 45,1; 0,0; 0,0; 0,0
"2454 Miljøforanstaltninger i landbruget "; 57,8; 54,5; 52,7; 52,7; 48,9; 48,9
"245431 Aktiviteter vedrørende bekæmpelsesmidler "; 57,8; 54,5; 52,7; 52,7; 48,9; 48,9
"24543110 Aktiviteter vedrørende bekæmpelsesmidler "; 57,8; 54,5; 40,0; 40,1; 36,3; 36,3
"24543145 særlilg begrænsning af pesticidanvendelse "; 0,0; 0,0; 12,7; 12,6; 12,6; 12,6
"2455 Øvrige miljøforanstaltninger "; 143,2; 191,0; 97,8; 42,7; 11,3; 11,3
"245505 Ordninger for reduktion af partikeludslip "; 18,5; 34,3; 0,0; 0,0; 0,0; 0,0
"24550510 Partikelforurening fra tunge køretøjer "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24550520 Indsats mod partikelforurening "; 18,4; 34,3; 0,0; 0,0; 0,0; 0,0
"245506 Virksomhedsordningen "; 2,8; 0,0; 0,2; 3,8; 11,3; 11,3
"24550610 Virksomhedsordningen "; 2,8; 0,0; 0,2; 3,8; 11,3; 11,3
"245507 Etablering af biocovers på affaldsdeponier "; 3,7; 55,7; 55,1; 0,0; 0,0; 0,0
"24550710 Etablering af biocovers "; 3,7; 55,7; 55,1; 0,0; 0,0; 0,0
"245509 MUDP "; 118,3; 101,0; 42,5; 38,9; 0,0; 0,0
"24550920 Rådgivning, information og eksportfremme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24550940 Indsats for miljø og sundhed "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24550950 Nye miljøteknologier "; 9,1; 3,6; 3,6; 0,0; 0,0; 0,0
"24550960 Partnerskaber, miljøsamarbejde, markedsføring"; 6,7; 0,0; 0,0; 0,0; 0,0; 0,0
"24550970 MUDP "; 89,6; 78,0; 19,4; 19,4; 0,0; 0,0
"24550971 Grøn innovationspulje "; 13,0; 19,4; 19,5; 19,5; 0,0; 0,0
"2456 International miljøstøtte "; 26,8; 26,9; 27,0; 32,1; 32,1; 32,1
"245611 Nordisk Miljøfinansieringsselskab NEFCO "; 2,8; 2,8; 2,8; 2,8; 2,8; 2,8
"24561135 Nordisk Miljøfinansieringsselskab (NEFCO) "; 2,8; 2,8; 2,8; 2,8; 2,8; 2,8
"245613 Miljøstøtte til Arktis mv. "; 24,0; 24,1; 24,2; 29,3; 29,3; 29,3
"24561310 Miljøstøtte til Arktis "; 24,0; 24,1; 24,2; 29,3; 29,3; 29,3
"246 Kyster og havne "; 266,4; 285,8; 250,2; 219,8; 116,6; 115,4
"2461 Kystzonen og havne "; 266,4; 285,8; 250,2; 219,8; 116,6; 115,4
"246101 Kystdirektoratet "; 39,7; 36,3; 35,3; 34,2; 33,5; 33,0
"24610110 Almindelig virksomhed "; 39,7; 36,3; 35,3; 34,2; 33,5; 33,0
"24610190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24610195 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"246103 Kystbeskyttelse, havne mv. "; 135,7; 181,5; 146,5; 117,3; 26,3; 26,3
"24610310 Rådighedspulje "; 12,6; 15,8; 16,2; 16,2; 16,2; 17,6
"24610324 Kystbeskyttelse mellem Lodbjerg og Nymindegab"; 109,1; 88,1; 74,4; 90,2; 0,0; 0,0
"24610325 Kystbeskyttelse ved Blåvand "; 9,7; 0,0; 0,6; 0,0; 0,0; 0,0
"24610330 Kystbeskyttelse ved Skagen "; 0,0; 1,1; 1,1; 1,1; 0,0; 0,0
"24610340 Kystbeskyttelse ved Lønstrup "; 1,0; 1,0; 1,0; 1,0; 0,0; 0,0
"24610343 Sediment Esbjerg Havn "; 3,3; 63,7; 45,1; 7,5; 8,6; 7,4
"24610347 Central anlægsreserve "; 0,0; 11,8; 8,1; 1,3; 1,5; 1,3
"246114 Tilskud til oprensning "; 21,4; 21,4; 21,6; 21,6; 21,6; 21,6
"24611410 Almindelig virksomhed "; 21,4; 21,4; 21,6; 21,6; 21,6; 21,6
"246115 Oprensning i indsejlinger mv. "; 69,7; 46,6; 46,8; 46,7; 35,2; 34,5
"24611510 Oprensning i og ved Esbjerg Havn "; 40,7; 35,0; 35,2; 35,2; 28,4; 27,9
"24611520 Oprensning i øvrige indsejlinger mv. "; 29,0; 11,6; 11,6; 11,5; 6,8; 6,6
"247 Vand og natur mv. "; 915,9; 1016,4; 1072,7; 1062,0; 997,4; 946,0
"2471 Vand- og Naturforvaltning, fællesudgifter "; 490,8; 574,8; 634,0; 602,4; 561,8; 521,7
"247101 Styrelsen for Vand- og Naturforvaltning "; 552,7; 559,5; 622,7; 576,3; 536,1; 496,4
"24710110 Driftsbudget "; 501,8; 512,4; 597,7; 576,3; 536,1; 496,4
"24710140 Klimaindsats "; 4,3; 0,0; 0,0; 0,0; 0,0; 0,0
"24710150 Koncernopgaver "; 46,6; 47,1; 0,0; 0,0; 0,0; 0,0
"24710160 Afgrænsning af vandløb mv. "; 0,0; 0,0; 25,0; 0,0; 0,0; 0,0
"24710190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24710197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"247103 Skov-, landskabs- og vildtopgaver "; 4,6; 4,5; 4,4; 4,3; 4,3; 4,2
"24710310 Myndighedsrelaterede opgaver "; 4,6; 4,5; 4,4; 4,3; 4,3; 4,2
"24710320 Opgaver vedrørende arts- og vildtforvaltning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24710330 Opgaver vedrørende faldvildtundersøgelser "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"247105 Erstatninger "; 0,3; 13,7; 10,7; 11,7; 11,7; 11,7
"24710510 Erstatninger "; 0,3; 13,7; 10,7; 11,7; 11,7; 11,7
"247106 Jagttegnsafgift "; -2,9; -2,4; -2,8; -2,8; -2,8; -2,8
"24710610 Jagttegnsafgift "; -2,9; -2,4; -2,8; -2,8; -2,8; -2,8
"247108 Vederlag for råstofindvinding "; -26,3; -19,2; -19,4; -19,4; -19,4; -19,4
"24710810 Vederlag for råstofsindvinding "; -26,3; -19,2; -19,4; -19,4; -19,4; -19,4
"247110 Klimatilpasning tilskud "; -0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"24711010 Tværgående samarbejde på klimatilpasning "; -0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"247111 BNBO "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24711110 Boringsnære beskyttelsesområder "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"247112 Kommunal andel af grundvandsafgift "; -54,7; 0,0; 0,0; 14,4; 14,4; 14,4
"24711210 Kommunal andel af grundvandsafgift "; -54,7; 0,0; 0,0; 14,4; 14,4; 14,4
"247113 Danmarks Miljøportal "; 18,8; 18,7; 18,4; 17,9; 17,5; 17,2
"24711310 Driftsbudget "; 18,8; 18,7; 18,4; 17,9; 17,5; 17,2
"2472 Vandramme og Natura2000 mv. "; 206,2; 192,2; 218,9; 238,8; 259,3; 245,5
"247201 Naturforvaltning og friluftsliv "; 15,8; 38,2; 14,0; 6,8; 1,9; 4,1
"24720120 LIFE-projekter "; 0,0; 2,4; 9,9; 2,7; 0,0; 0,0
"24720125 Stenrev "; 11,2; 9,2; 0,0; 0,0; 0,0; 0,0
"24720135 Friluftsliv "; 4,6; 10,0; 4,1; 4,1; 1,9; 4,1
"24720140 Naturplan Danmark "; 0,0; 16,6; 0,0; 0,0; 0,0; 0,0
"247202 LDP og vandramme "; 161,9; 125,1; 174,1; 193,7; 219,1; 203,1
"24720210 N vådområder l "; -26,0; 27,3; 43,8; 58,3; 84,0; 86,9
"24720211 N vådområder - forundersøgelser "; 78,3; 0,0; 0,0; 0,0; 0,0; 0,0
"24720212 Statslige vådområder "; -2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"24720213 Naturpakke - Synergiprojekter "; 0,0; 0,0; 2,0; 0,0; 4,3; 0,0
"24720220 P vådområder l "; 1,3; 2,7; 3,0; 3,2; 3,3; 3,3
"24720221 P vådområder - forundersøgelser "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24720230 Lavbundsprojekter l "; 3,7; 12,1; 14,2; 15,0; 14,6; 14,6
"24720231 Lavbundsprojekter - forundersøgelser "; 0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24720240 Natura 2000 projekter l "; -0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"24720241 Natura 2000 projekter ll "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24720242 Natura 2000 projekter lll "; 8,4; 6,6; 5,0; 0,0; 0,0; 0,0
"24720243 Natura 2000-planlægning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24720250 Fysiske anlæg l "; 0,0; 6,5; 0,0; 0,0; 0,0; 0,0
"24720251 Fysiske anlæg - forundersøgelser "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24720260 Vandløbsrestaureringer "; 98,6; 51,5; 58,6; 59,0; 57,8; 57,8
"24720261 Dambrug "; 0,0; 7,8; 7,9; 7,9; 7,9; 7,9
"24720262 Sørestaurering "; 0,0; 1,9; 3,8; 3,8; 0,0; 0,0
"24720270 Nationale udgifter "; 0,0; 6,3; 11,5; 11,5; 11,3; 6,3
"24720280 Sikring af skov Natura 2000 "; 20,7; 17,7; 15,8; 15,8; 16,7; 16,7
"24720281 Privat skovrejsning "; -20,3; -15,3; -10,7; 0,0; 0,0; 0,0
"24720282 Naturpakke - privat urørt skov "; 0,0; 0,0; 9,6; 9,6; 9,6; 9,6
"24720285 Naturpakke - tilskud til læhegn "; 0,0; 0,0; 9,6; 9,6; 9,6; 0,0
"247203 Grønne partnerskaber "; 4,8; 0,0; 0,0; 0,0; 0,0; 0,0
"24720310 Vand- og naturindsats "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24720320 Grønne partnerskaber "; 4,8; 0,0; 0,0; 0,0; 0,0; 0,0
"247205 Nationalparker "; 23,7; 28,9; 30,8; 38,3; 38,3; 38,3
"24720510 Nationalparkfond Thy "; 6,0; 7,6; 7,7; 7,7; 7,7; 7,7
"24720520 Nationalparkfond Mols Bjerge "; 6,0; 7,6; 7,7; 7,7; 7,7; 7,7
"24720530 Nationalparkfond Vadehavet "; 10,8; 7,6; 7,7; 7,7; 7,7; 7,7
"24720540 Nationalparkfond Skjoldungernes land "; 0,8; 3,3; 7,7; 7,7; 7,7; 7,7
"24720580 Reserve vedrørende nationalparker "; 0,0; 2,8; 0,0; 7,5; 7,5; 7,5
"2473 Privat skovbrug mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"247313 Tilskud til genplantning mv. efter stormfald "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24731310 Tilskud til genplantning mv. "; 12,4; 0,7; 0,7; 0,7; 0,7; 0,7
"24731320 Refusion fra stormflods- og stormfaldspuljen "; -12,4; -0,7; -0,7; -0,7; -0,7; -0,7
"2474 Arealforvaltning mv. "; 218,9; 249,4; 219,8; 220,8; 176,3; 178,8
"247401 Naturstyrelsen "; 165,6; 207,6; 182,2; 172,1; 160,4; 160,4
"24740110 Driftsbudget "; 164,1; 207,6; 182,2; 172,1; 160,4; 160,4
"24740115 Erstatninger "; 1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"24740130 Driftsmidler, naturforvaltning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24740190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"24740197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"247402 Salg af ejendomme "; -9,4; 0,0; 0,0; 0,0; -2,9; 0,0
"24740210 Salg af ejendomme "; -9,4; 0,0; 0,0; 0,0; 0,0; 0,0
"24740220 Salg af grunde og arealer mv. "; 0,0; 0,0; 0,0; 0,0; -2,9; 0,0
"247403 Testcenter Østerild "; 1,8; 7,9; 0,0; 0,0; 0,0; 0,0
"24740310 Skovrydning "; 0,7; 1,3; 0,0; 0,0; 0,0; 0,0
"24740320 Ekspropriation og erstatning mv. "; -0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"24740330 Afværgeforanstaltninger "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"24740340 Naturovervågning mv. "; 0,1; 0,8; 0,0; 0,0; 0,0; 0,0
"24740350 Erstatningsskov "; 1,4; 5,8; 0,0; 0,0; 0,0; 0,0
"247404 Naturforvaltning mv. "; 60,8; 33,9; 37,6; 48,7; 18,8; 18,4
"24740410 Statslig skovrejsning "; 6,4; 18,4; 12,7; 16,8; 7,4; 7,4
"24740420 Friluftsliv "; 7,7; 0,0; 8,2; 8,4; 6,5; 6,1
"24740430 Vand og naturindsats mv. "; 5,8; 0,0; 0,0; 0,0; 0,0; 0,0
"24740440 Ejendomme under Naturstyrelsen "; 3,5; 11,9; 4,9; 4,9; 4,9; 4,9
"24740450 LIFE-projekter "; 37,4; 3,6; 11,6; 18,1; 0,0; 0,0
"24740460 Naturpakke - indsats for sammenhængende natur"; 0,0; 0,0; 0,2; 0,5; 0,0; 0,0
"248 Den Danske Naturfond "; 144,0; 140,0; 140,0; 125,0; 0,0; 0,0
"2481 Den Danske Naturfond "; 144,0; 140,0; 140,0; 125,0; 0,0; 0,0
"248101 Sekretariat for Den Danske Naturfond "; 19,0; 15,0; 15,0; 0,0; 0,0; 0,0
"24810110 Tilskud til fondens sekretariatsudgifter "; 19,0; 15,0; 15,0; 0,0; 0,0; 0,0
"248102 Den Danske Naturfond "; 125,0; 125,0; 125,0; 125,0; 0,0; 0,0
"24810210 Tilskud til Den Danske Naturfond "; 125,0; 125,0; 125,0; 125,0; 0,0; 0,0
"28 Transport- og Bygningsministeriet "; 17422,0; 15847,2; 15541,3; 14126,7; 13332,6; 13049,5
"281 Fællesudgifter "; -742,2; -120,0; -196,7; -479,8; -912,2; -437,4
"2811 Centralstyrelsen "; -777,1; -154,7; -226,8; -505,7; -937,0; -461,6
"281101 Departementet "; 135,0; 143,6; 144,9; 142,3; 139,9; 137,2
"28110110 Almindelig virksomhed "; 135,0; 143,6; 144,9; 142,3; 139,9; 137,2
"28110122 Ekstern kvalitetssikring "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"281111 Rådet for Sikker Trafik "; 16,5; 16,7; 16,8; 16,8; 16,8; 16,8
"28111110 Rådet for Sikker Trafik "; 16,5; 16,7; 16,8; 16,8; 16,8; 16,8
"281112 Transportforskning "; 16,6; 16,4; 16,1; 15,8; 15,5; 15,2
"28111210 Transportforskning "; 16,6; 16,4; 16,1; 15,8; 15,5; 15,2
"281113 Den centrale anlægsreserve "; 0,0; 241,1; -152,5; -276,7; -945,9; -229,2
"28111310 Vejprojekter "; 0,0; 420,8; 194,3; 212,4; 51,6; 78,1
"28111320 Baneprojekter - En grøn transportpolitik "; 0,0; 622,6; 615,7; 374,9; 282,1; 140,2
"28111330 Øvrige baneprojekter "; 0,0; 15,0; 24,8; 32,5; 0,0; 0,0
"28111331 Baneprojekter -Togfonden DK "; 0,0; 15,2; 21,1; 17,0; 7,7; 0,0
"28111340 Metro - afgrening til Nordhavn "; 0,0; 29,7; 29,2; 26,4; 26,4; 0,0
"28111345 Metro - afgrening til Sydhavn "; 0,0; 41,8; 0,0; 0,0; 0,0; 0,0
"28111350 Letbaner "; 0,0; 88,5; 72,6; 74,9; 118,4; 96,1
"28111379 Budgetregulering "; 0,0; -992,5; -1110,2; -1014,8; -1432,1; -543,6
"281115 Takstnedsættelser og investeringer "; 0,0; 0,0; 471,0; 552,1; 551,9; 437,1
"28111510 Pulje til takstnedsættelser "; 0,0; 0,0; 0,0; 50,3; 43,9; 43,9
"28111520 investeringer til den kollektive trafik "; 0,0; 0,0; 471,0; 501,8; 508,0; 393,2
"281131 Metroselskabet I/S, indskud "; 644,4; 0,0; 0,0; 0,0; 0,0; 0,0
"28113110 Indskud vedr. afgrening til Sydhavnsmetro "; 644,4; 0,0; 0,0; 0,0; 0,0; 0,0
"281133 Indskud "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28113310 Aarhus Letbane "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"281135 Letbaner "; 153,7; 342,9; 637,0; 409,3; 649,7; 526,8
"28113510 Ring 3 Letbane "; 91,8; 196,0; 171,3; 248,7; 488,1; 272,1
"28113520 Odense Letbane "; 0,0; 112,5; 227,1; 160,6; 161,6; 254,7
"28113530 Aarhus Letbane "; 61,9; 34,4; 238,6; 0,0; 0,0; 0,0
"281136 Fjordforbindelsen Frederikssund "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28113620 Indskud vedr. Fjordforbindelsen Frederikssund"; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"281151 Udlån "; -200,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28115110 Naviair "; -200,0; 0,0; 0,0; 0,0; 0,0; 0,0
"281166 Aktieudbytte mv. "; -911,6; -951,5; -1383,0; -1383,0; -1383,0; -1383,0
"28116640 Udbytte fra Posten Norden AB "; 0,0; -41,5; 0,0; 0,0; 0,0; 0,0
"28116660 Udbytte fra DSB og DSB S-tog A/S "; 0,0; 0,0; -173,0; -173,0; -173,0; -173,0
"28116665 Renteprovision vedr. statsgaranti til DSB "; -11,6; -10,0; -10,0; -10,0; -10,0; -10,0
"28116670 Udbytte fra Sund og Bælt A/S "; -900,0; -900,0; -1200,0; -1200,0; -1200,0; -1200,0
"281167 Salg af statslige aktiver "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
